No,PCS番号（通し）,回路数
1,PCS 1-1-1,7
2,PCS 1-1-2,7
3,PCS 1-1-3,7
4,PCS 1-1-4,7
5,PCS 1-2-1,7
6,PCS 1-2-2,7
7,PCS 1-2-3,7
8,PCS 1-2-4,7
9,PCS 1-3-1,7
10,PCS 1-3-2,7
11,PCS 1-3-3,7
12,PCS 1-3-4,7
13,PCS 1-4-1,7
14,PCS 1-4-2,7
15,PCS 1-4-3,7
16,PCS 1-4-4,7
17,PCS 1-5-1,7
18,PCS 1-5-2,7
19,PCS 1-5-3,7
20,PCS 1-5-4,7
21,PCS 1-6-1,7
22,PCS 1-6-2,7
23,PCS 1-6-3,7
24,PCS 1-6-4,7
25,PCS 1-7-1,7
26,PCS 1-7-2,7
27,PCS 1-7-3,7
28,PCS 1-7-4,7
29,PCS 1-8-1,7
30,PCS 1-8-2,7
31,PCS 1-8-3,7
32,PCS 1-8-4,7
33,PCS 1-9-1,7
34,PCS 1-9-2,7
35,PCS 1-9-3,7
36,PCS 1-9-4,7
37,PCS 1-10-1,7
38,PCS 1-10-2,7
39,PCS 1-10-3,7
40,PCS 1-10-4,7
41,PCS 1-11-1,7
42,PCS 1-11-2,7
43,PCS 1-11-3,7
44,PCS 1-11-4,7
45,PCS 1-12-1,7
46,PCS 1-12-2,7
47,PCS 1-12-3,7
48,PCS 1-12-4,7
49,PCS 1-13-1,7
50,PCS 1-13-2,7
51,PCS 1-13-3,7
52,PCS 1-13-4,7
53,PCS 1-19-1,7
54,PCS 1-19-2,7
55,PCS 1-19-3,7
56,PCS 1-19-4,7
57,PCS 2-43-1,7
58,PCS 2-43-2,7
59,PCS 2-43-3,7
60,PCS 2-43-4,7
61,PCS 2-44-1,7
62,PCS 2-44-2,7
63,PCS 2-44-3,7
64,PCS 2-44-4,7
65,PCS 2-45-1,7
66,PCS 2-45-2,7
67,PCS 2-45-3,7
68,PCS 2-45-4,7
69,PCS 2-46-1,7
70,PCS 2-46-2,7
71,PCS 2-46-3,7
72,PCS 2-46-4,7
73,PCS 2-47-1,7
74,PCS 2-47-2,7
75,PCS 2-47-3,7
76,PCS 2-47-4,7
77,PCS 2-48-1,7
78,PCS 2-48-2,7
79,PCS 2-48-3,7
80,PCS 2-48-4,7
81,PCS 2-49-1,7
82,PCS 2-49-2,7
83,PCS 2-49-3,7
84,PCS 2-49-4,7
85,PCS 2-50-1,7
86,PCS 2-50-2,7
87,PCS 2-50-3,7
88,PCS 2-50-4,7
89,PCS 2-51-1,7
90,PCS 2-51-2,7
91,PCS 2-51-3,7
92,PCS 2-51-4,7
93,PCS 2-52-1,7
94,PCS 2-52-2,7
95,PCS 2-52-3,7
96,PCS 2-52-4,7
97,PCS 2-53-1,7
98,PCS 2-53-2,7
99,PCS 2-53-3,7
100,PCS 2-53-4,7
101,PCS 2-54-1,7
102,PCS 2-54-2,7
103,PCS 2-54-3,7
104,PCS 2-55-1,7
105,PCS 2-55-2,7
106,PCS 2-55-3,7
107,PCS 2-56-1,7
108,PCS 2-56-2,7
109,PCS 2-56-3,7
110,PCS 2-32-1,7
111,PCS 2-32-2,7
112,PCS 2-32-3,7
113,PCS 2-32-4,7
114,PCS 2-33-1,7
115,PCS 2-33-2,7
116,PCS 2-33-3,7
117,PCS 2-33-4,7
118,PCS 2-34-1,7
119,PCS 2-34-2,7
120,PCS 2-34-3,7
121,PCS 2-34-4,7
122,PCS 2-35-1,7
123,PCS 2-35-2,7
124,PCS 2-35-3,7
125,PCS 2-35-4,7
126,PCS 2-36-1,7
127,PCS 2-36-2,7
128,PCS 2-36-3,7
129,PCS 2-36-4,7
130,PCS 2-37-1,7
131,PCS 2-37-2,7
132,PCS 2-37-3,7
133,PCS 2-37-4,7
134,PCS 2-38-1,7
135,PCS 2-38-2,7
136,PCS 2-38-3,7
137,PCS 2-38-4,7
138,PCS 2-23-1,8
139,PCS 2-23-2,8
140,PCS 2-23-3,8
141,PCS 2-23-4,8
142,PCS 2-24-1,8
143,PCS 2-24-2,8
144,PCS 2-24-3,8
145,PCS 2-24-4,8
146,PCS 2-31-1,7
147,PCS 2-31-2,7
148,PCS 2-31-3,7
149,PCS 2-31-4,8
150,PCS 2-39-1,7
151,PCS 2-39-2,7
152,PCS 2-39-3,7
153,PCS 2-39-4,7
154,PCS 2-40-1,7
155,PCS 2-40-2,7
156,PCS 2-40-3,7
157,PCS 2-40-4,7
158,PCS 2-41-1,8
159,PCS 2-41-2,8
160,PCS 2-41-3,7
161,PCS 2-41-4,7
162,PCS 2-42-1,7
163,PCS 2-42-2,7
164,PCS 2-42-3,7
